Rating	ID	Title	Title Slug	Contest Slug	Problem Index
2069.4030284676	1168	Optimize Water Distribution in a Village	optimize-water-distribution-in-a-village	biweekly-contest-7	Q4
2068.8066375660	1368	Minimum Cost to Make at Least One Valid Path in a Grid	minimum-cost-to-make-at-least-one-valid-path-in-a-grid	weekly-contest-178	Q4
2068.0043466118	1770	Maximum Score from Performing Multiplication Operations	maximum-score-from-performing-multiplication-operations	weekly-contest-229	Q3
2067.0643721733	855	Exam Room	exam-room	weekly-contest-89	Q3
2066.0972575597	801	Minimum Swaps To Make Sequences Increasing	minimum-swaps-to-make-sequences-increasing	weekly-contest-76	Q2
2062.9876807625	2156	Find Substring With Given Hash Value	find-substring-with-given-hash-value	weekly-contest-278	Q3
2062.3601158741	2106	Maximum Fruits Harvested After at Most K Steps	maximum-fruits-harvested-after-at-most-k-steps	weekly-contest-271	Q4
2059.4040623264	1131	Maximum of Absolute Value Expression	maximum-of-absolute-value-expression	weekly-contest-146	Q4
2057.4788263111	2197	Replace Non-Coprime Numbers in Array	replace-non-coprime-numbers-in-array	weekly-contest-283	Q4
2056.3354942160	1473	Paint House III	paint-house-iii	weekly-contest-192	Q4
2055.0970201875	1575	Count All Possible Routes	count-all-possible-routes	biweekly-contest-34	Q4
2053.7468090497	839	Similar String Groups	similar-string-groups	weekly-contest-85	Q4
2051.0879431258	1856	Maximum Subarray Min-Product	maximum-subarray-min-product	weekly-contest-240	Q3
2050.7159774570	1224	Maximum Equal Frequency	maximum-equal-frequency	weekly-contest-158	Q4
2050.2553211463	1648	Sell Diminishing-Valued Colored Balls	sell-diminishing-valued-colored-balls	weekly-contest-214	Q3
2048.0976546787	1553	Minimum Number of Days to Eat N Oranges	minimum-number-of-days-to-eat-n-oranges	weekly-contest-202	Q4
2040.5621123027	1751	Maximum Number of Events That Can Be Attended II	maximum-number-of-events-that-can-be-attended-ii	biweekly-contest-45	Q4
2040.5392890370	1371	Find the Longest Substring Containing Vowels in Even Counts	find-the-longest-substring-containing-vowels-in-even-counts	biweekly-contest-21	Q2
2039.1108746890	1201	Ugly Number III	ugly-number-iii	weekly-contest-155	Q2
2038.8592725467	1590	Make Sum Divisible by P	make-sum-divisible-by-p	biweekly-contest-35	Q3
2037.6527962599	2116	Check if a Parentheses String Can Be Valid	check-if-a-parentheses-string-can-be-valid	biweekly-contest-68	Q3
2036.7206020719	1348	Tweet Counts Per Frequency	tweet-counts-per-frequency	weekly-contest-175	Q3
2034.9740902393	1140	Stone Game II	stone-game-ii	weekly-contest-147	Q4
2034.9420578559	1335	Minimum Difficulty of a Job Schedule	minimum-difficulty-of-a-job-schedule	weekly-contest-173	Q4
2034.6759416871	947	Most Stones Removed with Same Row or Column	most-stones-removed-with-same-row-or-column	weekly-contest-112	Q3
2034.4067304341	828	Count Unique Characters of All Substrings of a Given String	count-unique-characters-of-all-substrings-of-a-given-string	weekly-contest-83	Q4
2033.4597721985	2136	Earliest Possible Day of Full Bloom	earliest-possible-day-of-full-bloom	weekly-contest-275	Q4
2032.4773038683	1425	Constrained Subsequence Sum	constrained-subsequence-sum	weekly-contest-186	Q4
2029.1301557536	1231	Divide Chocolate	divide-chocolate	biweekly-contest-11	Q4
2027.8772739639	895	Maximum Frequency Stack	maximum-frequency-stack	weekly-contest-99	Q4
2027.7304121046	1320	Minimum Distance to Type a Word Using Two Fingers	minimum-distance-to-type-a-word-using-two-fingers	weekly-contest-171	Q4
